#---------------------------------------------------------
# Mapping
# LXX = BHS (see org.vrs)
#
EXO 21:16 = EXO 21:17
EXO 21:17 = EXO 21:16
# Greek Psalms to Hebrew Psalms
# PSA 9 = 9+10
PSA 9:22-39 = PSA 10:1-18
PSA 10:1-7 = PSA 11:1-7
PSA 11:1-9 = PSA 12:1-9
PSA 12:1-6 = PSA 13:1-6
PSA 13:1-7 = PSA 14:1-7
PSA 14:1-5 = PSA 15:1-5
PSA 15:1-11 = PSA 16:1-11
PSA 16:1-15 = PSA 17:1-15
PSA 17:1-51 = PSA 18:1-51
PSA 18:1-15 = PSA 19:1-15
PSA 19:1-10 = PSA 20:1-10
PSA 20:1-14 = PSA 21:1-14
PSA 21:1-32 = PSA 22:1-32
PSA 22:1-6 = PSA 23:1-6
PSA 23:1-10 = PSA 24:1-10
PSA 24:1-22 = PSA 25:1-22
PSA 25:1-12 = PSA 26:1-12
PSA 26:1-14 = PSA 27:1-14
PSA 27:1-9 = PSA 28:1-9
PSA 28:1-11 = PSA 29:1-11
PSA 29:1-13 = PSA 30:1-13
PSA 30:1-25 = PSA 31:1-25
PSA 31:1-11 = PSA 32:1-11
PSA 32:1-22 = PSA 33:1-22
PSA 33:1-23 = PSA 34:1-23
PSA 34:1-28 = PSA 35:1-28
PSA 35:1-13 = PSA 36:1-13
PSA 36:1-40 = PSA 37:1-40
PSA 37:1-23 = PSA 38:1-23
PSA 38:1-14 = PSA 39:1-14
PSA 39:1-18 = PSA 40:1-18
PSA 40:1-14 = PSA 41:1-14
PSA 41:1-12 = PSA 42:1-12
PSA 42:1-5 = PSA 43:1-5
PSA 43:1-27 = PSA 44:1-27
PSA 44:1-18 = PSA 45:1-18
PSA 45:1-12 = PSA 46:1-12
PSA 46:1-10 = PSA 47:1-10
PSA 47:1-15 = PSA 48:1-15
PSA 48:1-21 = PSA 49:1-21
PSA 49:1-23 = PSA 50:1-23
PSA 50:1-21 = PSA 51:1-21
PSA 51:1-11 = PSA 52:1-11
PSA 52:1-7 = PSA 53:1-7
PSA 53:1-9 = PSA 54:1-9
PSA 54:1-24 = PSA 55:1-24
PSA 55:1-14 = PSA 56:1-14
PSA 56:1-12 = PSA 57:1-12
PSA 57:1-12 = PSA 58:1-12
PSA 58:1-18 = PSA 59:1-18
PSA 59:1-14 = PSA 60:1-14
PSA 60:1-9 = PSA 61:1-9
PSA 61:1-13 = PSA 62:1-13
PSA 62:1-12 = PSA 63:1-12
PSA 63:1-11 = PSA 64:1-11
PSA 64:1-14 = PSA 65:1-14
PSA 65:1-20 = PSA 66:1-20
PSA 66:1-8 = PSA 67:1-8
PSA 67:1-36 = PSA 68:1-36
PSA 68:1-37 = PSA 69:1-37
PSA 69:1-6 = PSA 70:1-6
PSA 70:1-24 = PSA 71:1-24
PSA 71:1-20 = PSA 72:1-20
PSA 72:1-28 = PSA 73:1-28
PSA 73:1-23 = PSA 74:1-23
PSA 74:1-11 = PSA 75:1-11
PSA 75:1-13 = PSA 76:1-13
PSA 76:1-21 = PSA 77:1-21
PSA 77:1-72 = PSA 78:1-72
PSA 78:1-13 = PSA 79:1-13
PSA 79:1-20 = PSA 80:1-20
PSA 80:1-17 = PSA 81:1-17
PSA 81:1-8 = PSA 82:1-8
PSA 82:1-19 = PSA 83:1-19
PSA 83:1-13 = PSA 84:1-13
PSA 84:1-14 = PSA 85:1-14
PSA 85:1-17 = PSA 86:1-17
PSA 86:1-7 = PSA 87:1-7
PSA 87:1-19 = PSA 88:1-19
PSA 88:1-53 = PSA 89:1-53
PSA 89:1-17 = PSA 90:1-17
PSA 90:1-16 = PSA 91:1-16
PSA 91:1-16 = PSA 92:1-16
PSA 92:1-5 = PSA 93:1-5
PSA 93:1-23 = PSA 94:1-23
PSA 94:1-11 = PSA 95:1-11
PSA 95:1-13 = PSA 96:1-13
PSA 96:1-12 = PSA 97:1-12
PSA 97:1-9 = PSA 98:1-9
PSA 98:1-9 = PSA 99:1-9
PSA 99:1-5 = PSA 100:1-5
PSA 100:1-8 = PSA 101:1-8
PSA 101:1-29 = PSA 102:1-29
PSA 102:1-22 = PSA 103:1-22
PSA 103:1-35 = PSA 104:1-35
PSA 104:1-45 = PSA 105:1-45
